nama,kode,satuan,harga,,,,,,,,,,,,,,,,,,,,,,
"Datalogger BL-1100 System Series  (lengkap dengan solar cell, solar charge, deep cycle battery, data sender dan enclosure IP65)",BL-1100,Unit,"56,194,737",,,,,,,,,,,,,,,,,,,,,,
"Firmware embedded system AWLR datalogger untuk sensor ultrasonic atau radar (US-XXX-5M, RS-XXXX-5M, AW-XXXX-5M)",FW-001-WLR01,Unit,"22,107,368",,,,,,,,,,,,,,,,,,,,,,
Upgrade firmware tambahan untuk mengukur debit air (US-XXX-5M atau RS-XXXX-5M),FW-001-WDC01,Unit,"8,003,158",,,,,,,,,,,,,,,,,,,,,,
Firmware embedded system ARR datalogger untuk sensor tipping bucket series (TB-0XX-2M),FW-002-RR01,Unit,"15,665,263",,,,,,,,,,,,,,,,,,,,,,
Firmware embedded system AWR datalogger untuk sensor klimatologi (WS-XXX-3M dan WS-XXXX-3M),FW-003-WR01,Unit,"35,294,737",,,,,,,,,,,,,,,,,,,,,,
Upgrade firmware tambahan sensor untuk mengukur evaporasi (EVP-100-5M),FW-003-ADD01,Unit,"11,045,263",,,,,,,,,,,,,,,,,,,,,,
"Firmware embedded system AVWR datalogger untuk sensor vibrating wire (PZ-VWxxx-50M, CR-VWxxx-50M, dan TPC-VWxxx-50M)",FW-004-VW01,Unit,"43,793,684",,,,,,,,,,,,,,,,,,,,,,
Firmware embedded system AICR datalogger untuk sensor inklinasi tiltmeter (NV-210-30M),FW-005-IC01,Unit,"25,362,947",,,,,,,,,,,,,,,,,,,,,,
Firmware embedded system AICR datalogger untuk sensor inklinasi (GFX-300-25M),FW-006-IC01,Unit,"33,046,316",,,,,,,,,,,,,,,,,,,,,,
Upgrade firmware tambah segment sensor untuk mengukur inklinasi (GFX-300-25M),FW-006-ADD01,Unit,"9,338,947",,,,,,,,,,,,,,,,,,,,,,
Firmware embedded system AGWLR datalogger untuk sensor hydrostatic (HS-300-30M),FW-007-GWLR01,Unit,"21,802,105",,,,,,,,,,,,,,,,,,,,,,
Firmware embedded system AWQR datalogger untuk sensor kualitas air (1 sensor),FW-008-WQ01,Unit,"23,867,368",,,,,,,,,,,,,,,,,,,,,,
Upgrade firmware tambah sensor untuk mengukur kualitas air,FW-008-ADD01,Unit,"6,289,474",,,,,,,,,,,,,,,,,,,,,,
